devicenum,locationgroup,locationgroupdevicenum,location,address,longitude,latitude,uniqueidentifier,stathingid,stadatastreamid,iotdeviceid,iotprimarythumbnail,iotsecondarythumbnail
258,Intersections,141,AMBASSADOR @ DOVER,,-92.060954,30.166893,,,,,,
259,Intersections,142,CONGRESS @ CAJUNDOME,,-92.041213,30.218805,,,,,,
260,Intersections,143,JEFFERSON @ TAFT,,-92.011313,30.215947,,,,,,
261,Intersections,144,CAMELLIA @ MT VERNON/ACADEMY,,-92.051322,30.184218,,,,,,
262,Intersections,145,NB THRUWAY @ 2ND,,-92.012939,30.230515,,,,,,
263,Intersections,146,SB THRUWAY @ 2ND,,-92.013415,30.230326,,,,,,
264,Intersections,147,UNIVERSITY @ GENERAL MOUTON,,-92.005487,30.208419,,,,,,
265,Intersections,148,MOSS @ GLORIA SWITCH,,-92.00732,30.294781,,,,,,
266,Intersections,149,THRUWAY @ TOWER,,-92.000663,30.205612,,,,,,
267,Intersections,150,THRUWAY @ KALISTE,,-91.999885,30.20078,,,,,,
